time,T_set
2019-02-26T06:20:11Z,21
2019-02-26T06:35:11Z,21
2019-02-26T06:50:11Z,21
2019-02-26T07:05:11Z,21
2019-02-26T07:20:11Z,21
2019-02-26T07:35:11Z,21
2019-02-26T07:50:11Z,21
2019-02-26T08:05:11Z,21
2019-02-26T08:20:11Z,21
2019-02-26T08:20:54Z,21.5
2019-02-26T08:35:11Z,21.5
2019-02-26T08:50:11Z,21.5
2019-02-26T09:05:11Z,21.5
2019-02-26T09:20:11Z,21.5
2019-02-26T09:35:11Z,21.5
2019-02-26T09:56:00Z,21
2019-02-26T10:04:43Z,21.5
2019-02-26T10:11:00Z,21.5
2019-02-26T10:26:00Z,21.5
2019-02-26T10:41:00Z,21.5
2019-02-26T10:56:00Z,21.5
2019-02-26T11:11:00Z,21.5
2019-02-26T11:26:00Z,21.5
2019-02-26T11:41:00Z,21.5
2019-02-26T11:56:00Z,21.5
2019-02-26T12:11:00Z,21.5
2019-02-26T12:26:00Z,21.5
2019-02-26T12:41:00Z,21.5
2019-02-26T12:56:00Z,21.5
2019-02-26T13:11:00Z,21.5
2019-02-26T13:26:00Z,21.5
2019-02-26T13:41:00Z,21.5
2019-02-26T13:56:00Z,21.5
2019-02-26T14:11:00Z,21.5
2019-02-26T14:26:00Z,21.5
2019-02-26T14:40:03Z,21.5
2019-02-26T14:41:44Z,21.5
2019-02-26T14:42:21Z,21.5
2019-02-26T14:44:28Z,21.5
2019-02-26T14:45:04Z,21.5
2019-02-26T14:48:11Z,21.5
2019-02-26T14:48:48Z,21.5
2019-02-26T14:49:54Z,21.5
2019-02-26T14:50:30Z,21.5
2019-02-26T14:51:06Z,21.5
2019-02-26T14:53:45Z,21.5
2019-02-26T15:05:24Z,21.5
2019-02-26T15:10:02Z,21.5
2019-02-26T15:12:09Z,21.5
2019-02-26T15:16:46Z,21.5
2019-02-26T15:29:23Z,21.5
2019-02-26T15:32:00Z,21.5
2019-02-26T15:32:35Z,21.5
2019-02-26T15:33:12Z,21.5
2019-02-26T15:41:22Z,21.5
2019-02-26T15:42:28Z,21.5
2019-02-26T15:43:05Z,21.5
2019-02-26T15:44:11Z,21.5
2019-02-26T15:50:49Z,21.5
2019-02-26T15:51:25Z,21.5
2019-02-26T15:55:34Z,21.5
2019-02-26T16:00:11Z,21.5
2019-02-26T16:00:48Z,21.5
2019-02-26T16:01:53Z,21.5
2019-02-26T16:04:30Z,21.5
2019-02-26T16:05:37Z,21.5
2019-02-26T16:06:43Z,21.5
2019-02-26T16:07:49Z,21.5
2019-02-26T16:08:57Z,21.5
2019-02-26T16:10:33Z,21.5
2019-02-26T16:11:40Z,21.5
2019-02-26T16:12:18Z,21.5
2019-02-26T16:13:55Z,21.5
2019-02-26T16:28:55Z,21.5
2019-02-26T16:43:55Z,21.5
2019-02-26T16:49:10Z,21.5
2019-02-26T16:52:50Z,21.5
2019-02-26T16:54:59Z,21.5
2019-02-26T16:56:05Z,21.5
2019-02-26T16:58:12Z,21.5
2019-02-26T16:58:49Z,21.5
2019-02-26T16:59:55Z,21.5
2019-02-26T17:00:16Z,17.5
2019-02-26T17:02:02Z,17.5
2019-02-26T17:05:10Z,17.5
2019-02-26T17:05:45Z,17.5
2019-02-26T17:20:45Z,17.5
2019-02-26T17:25:25Z,17.5
2019-02-26T17:26:01Z,17.5
2019-02-26T17:33:40Z,17.5
2019-02-26T17:44:49Z,17.5
2019-02-26T17:46:25Z,17.5
2019-02-26T17:48:02Z,17.5
2019-02-26T17:48:40Z,17.5
2019-02-26T17:49:15Z,17.5
2019-02-26T17:49:51Z,17.5
2019-02-26T17:51:56Z,17.5
2019-02-26T17:53:03Z,17.5
2019-02-26T18:06:10Z,17.5
2019-02-26T18:09:16Z,17.5
2019-02-26T18:09:53Z,17.5
2019-02-26T18:21:03Z,17.5
2019-02-26T18:21:40Z,17.5
2019-02-26T18:25:16Z,17.5
2019-02-26T18:40:16Z,17.5
2019-02-26T18:48:55Z,17.5
2019-02-26T18:53:31Z,17.5
2019-02-26T18:55:08Z,17.5
2019-02-26T18:56:44Z,17.5
2019-02-26T18:57:21Z,17.5
2019-02-26T18:58:00Z,17.5
2019-02-26T18:59:07Z,17.5
2019-02-26T19:14:07Z,17.5
2019-02-26T19:29:07Z,17.5
2019-02-26T19:44:07Z,17.5
2019-02-26T19:59:07Z,17.5
2019-02-26T20:14:07Z,17.5
2019-02-26T20:29:07Z,17.5
2019-02-26T20:44:07Z,17.5
2019-02-26T20:59:07Z,17.5
2019-02-26T21:14:07Z,17.5
2019-02-26T21:29:07Z,17.5
2019-02-26T21:44:07Z,17.5
2019-02-26T21:59:07Z,17.5
2019-02-26T22:14:07Z,17.5
2019-02-26T22:29:07Z,17.5
2019-02-26T22:44:07Z,17.5
2019-02-26T22:59:07Z,17.5
2019-02-26T23:14:07Z,17.5
2019-02-26T23:29:07Z,17.5
2019-02-26T23:44:07Z,17.5
2019-02-26T23:59:07Z,17.5
2019-02-26T23:59:39Z,17.5
2019-02-27T00:04:18Z,17.5
2019-02-27T00:19:18Z,17.5
2019-02-27T00:29:02Z,17.5
2019-02-27T00:30:11Z,17.5
2019-02-27T00:45:11Z,17.5
2019-02-27T01:00:11Z,17.5
2019-02-27T01:15:11Z,17.5
2019-02-27T01:30:11Z,17.5
2019-02-27T01:45:11Z,17.5
2019-02-27T02:00:11Z,17.5
2019-02-27T02:15:11Z,17.5
2019-02-27T02:30:11Z,17.5
2019-02-27T02:45:11Z,17.5
2019-02-27T03:00:11Z,17.5
2019-02-27T03:15:11Z,17.5
2019-02-27T03:30:11Z,17.5
2019-02-27T03:45:11Z,17.5
2019-02-27T04:00:11Z,17.5
2019-02-27T04:15:11Z,17.5
2019-02-27T04:30:11Z,17.5
2019-02-27T04:45:11Z,17.5
2019-02-27T05:00:11Z,17.5
2019-02-27T05:15:11Z,17.5
2019-02-27T05:30:08Z,21
2019-02-27T05:30:11Z,21
2019-02-27T05:45:11Z,21
2019-02-27T06:00:11Z,21
2019-02-27T06:15:11Z,21
2019-02-27T06:30:11Z,21
2019-02-27T06:45:11Z,21
2019-02-27T07:00:11Z,21
2019-02-27T07:30:11Z,21
2019-02-27T07:45:11Z,21
2019-02-27T08:00:11Z,21
2019-02-27T08:15:11Z,21
2019-02-27T08:30:11Z,21
2019-02-27T08:45:11Z,21
2019-02-27T09:00:11Z,21
2019-02-27T09:15:11Z,21
2019-02-27T09:30:11Z,21
2019-02-27T09:45:11Z,21
2019-02-27T10:00:11Z,21
2019-02-27T10:15:11Z,21
2019-02-27T10:30:11Z,21
2019-02-27T10:32:40Z,21
2019-02-27T10:45:22Z,21
2019-02-27T11:00:22Z,21
2019-02-27T11:15:22Z,21
2019-02-27T11:30:22Z,21
2019-02-27T11:45:22Z,21
2019-02-27T12:00:22Z,21
2019-02-27T12:15:22Z,21
2019-02-27T12:30:22Z,21
2019-02-27T12:45:22Z,21
2019-02-27T13:00:22Z,21
2019-02-27T13:15:22Z,21
