time,T_in,valve,T_set
2019-02-21T06:08:04Z,21.93,38,23
2019-02-21T06:13:04Z,21.93,38,23
2019-02-21T06:18:04Z,22.47,26,23
2019-02-21T06:23:04Z,22.47,26,23
2019-02-21T06:28:04Z,22.47,26,23
2019-02-21T06:33:04Z,22.47,26,23
2019-02-21T06:38:04Z,22.47,26,23
2019-02-21T06:43:04Z,22.47,32,23
2019-02-21T06:48:04Z,22.47,32,23
2019-02-21T06:53:04Z,22.47,32,23
2019-02-21T06:58:04Z,22.47,32,23
2019-02-21T07:03:04Z,22.47,32,23
2019-02-21T07:08:04Z,22.47,32,23
2019-02-21T07:13:04Z,22.47,32,23
2019-02-21T07:18:04Z,22.47,32,23
2019-02-21T07:23:04Z,22.47,28,23
2019-02-21T07:28:04Z,22.47,28,23
2019-02-21T07:33:04Z,22.47,22,23
2019-02-21T07:38:04Z,22.47,22,23
2019-02-21T07:43:04Z,22.47,22,23
2019-02-21T07:48:04Z,22.47,22,23
2019-02-21T07:53:04Z,22.47,27,23
2019-02-21T07:58:04Z,22.47,27,23
2019-02-21T08:03:04Z,22.47,27,23
2019-02-21T08:08:04Z,22.47,33,23
2019-02-21T08:13:04Z,22.47,33,23
2019-02-21T08:18:04Z,22.47,29,23
2019-02-21T08:23:04Z,22.47,29,23
2019-02-21T08:28:04Z,22.47,24,23
2019-02-21T08:33:04Z,22.47,24,23
2019-02-21T08:38:04Z,22.47,24,23
2019-02-21T08:43:04Z,22.47,24,23
2019-02-21T08:48:04Z,22.47,24,23
2019-02-21T08:53:04Z,22.47,29,23
2019-02-21T08:58:04Z,22.47,29,23
2019-02-21T09:03:04Z,22.47,29,23
2019-02-21T09:08:04Z,22.47,35,23
2019-02-21T09:13:04Z,22.47,35,23
2019-02-21T09:18:04Z,22.47,31,23
2019-02-21T09:23:04Z,22.47,25,23
2019-02-21T09:28:04Z,23,25,23
2019-02-21T09:33:04Z,23,20,23
2019-02-21T09:38:04Z,23,20,23
2019-02-21T09:43:04Z,23,18,23
2019-02-21T09:48:04Z,23,18,23
2019-02-21T09:53:04Z,23,18,23
2019-02-21T09:58:04Z,23,18,23
2019-02-21T10:03:04Z,23,24,23
2019-02-21T10:08:04Z,23,24,23
2019-02-21T10:13:04Z,23,18,23
2019-02-21T10:18:04Z,23,18,23
2019-02-21T10:23:04Z,23.45,13,23
2019-02-21T10:28:04Z,23.45,13,23
2019-02-21T10:33:04Z,23.45,13,23
2019-02-21T10:38:04Z,23.45,19,23
2019-02-21T10:43:04Z,23.45,19,23
2019-02-21T10:48:04Z,23.45,19,23
2019-02-21T10:53:04Z,23.45,24,23
2019-02-21T10:58:04Z,23.45,24,23
2019-02-21T11:03:04Z,23.45,19,23
2019-02-21T11:08:04Z,23.45,19,23
2019-02-21T11:13:04Z,23.45,13,23
2019-02-21T11:18:04Z,23.45,13,23
2019-02-21T11:23:04Z,23.45,13,23
2019-02-21T11:28:04Z,23.45,13,23
2019-02-21T11:33:04Z,23.45,13,23
2019-02-21T11:38:04Z,23.45,13,23
2019-02-21T11:43:04Z,23.45,19,23
2019-02-21T11:48:04Z,23.45,19,23
2019-02-21T11:53:04Z,23.45,25,23
2019-02-21T11:58:04Z,23,19,23
2019-02-21T12:03:04Z,23,19,23
2019-02-21T12:08:04Z,23,19,23
2019-02-21T12:13:04Z,23,14,23
2019-02-21T12:18:04Z,23,14,23
2019-02-21T12:23:04Z,23,14,23
2019-02-21T12:28:04Z,23,14,23
2019-02-21T12:33:04Z,23,14,23
2019-02-21T12:38:04Z,23,20,23
2019-02-21T12:43:04Z,23,20,23
2019-02-21T12:48:04Z,23,20,23
2019-02-21T12:53:04Z,23,20,23
2019-02-21T12:58:04Z,23,20,23
2019-02-21T13:03:04Z,23,20,23
2019-02-21T13:08:04Z,23,20,23
2019-02-21T13:13:04Z,23,20,23
2019-02-21T13:18:04Z,23,20,23
2019-02-21T13:23:04Z,23,20,23
2019-02-21T13:28:04Z,23,25,23
2019-02-21T13:33:04Z,23,25,23
2019-02-21T13:38:04Z,23,20,23
2019-02-21T13:43:04Z,23,20,23
2019-02-21T13:48:04Z,23,20,23
2019-02-21T13:53:04Z,23,20,23
2019-02-21T13:58:04Z,23,20,23
2019-02-21T14:03:04Z,23,20,23
2019-02-21T14:08:04Z,23,20,23
2019-02-21T14:13:04Z,23,20,23
2019-02-21T14:18:04Z,23,20,23
2019-02-21T14:23:04Z,23,20,23
2019-02-21T14:28:04Z,23,20,23
2019-02-21T14:33:04Z,23,20,23
2019-02-21T14:38:04Z,23,20,23
2019-02-21T14:43:04Z,23,20,23
2019-02-21T14:48:04Z,23,20,23
2019-02-21T14:53:04Z,23,20,23
2019-02-21T14:58:04Z,23,20,23
2019-02-21T15:03:04Z,23,20,23
2019-02-21T15:08:04Z,23,20,23
2019-02-21T15:13:04Z,23.18,16,23
2019-02-21T15:18:04Z,23.18,16,23
2019-02-21T15:23:04Z,23.18,16,23
2019-02-21T15:28:04Z,23.18,16,23
2019-02-21T15:33:04Z,23,22,23
2019-02-21T15:38:04Z,23,22,23
2019-02-21T15:43:04Z,23,17,23
2019-02-21T15:48:04Z,23,17,23
2019-02-21T15:53:04Z,23,17,23
2019-02-21T15:58:04Z,23,17,23
2019-02-21T16:03:04Z,23,17,23
2019-02-21T16:08:04Z,23,17,23
2019-02-21T16:13:04Z,23,24,23
2019-02-21T16:18:04Z,23,18,23
2019-02-21T16:23:04Z,23,18,23
2019-02-21T16:28:04Z,23.09,18,23
2019-02-21T16:33:04Z,23.09,18,23
2019-02-21T16:38:04Z,23.09,18,23
2019-02-21T16:43:04Z,23.09,18,23
2019-02-21T16:48:04Z,23.09,18,23
2019-02-21T16:53:04Z,23.09,18,23
2019-02-21T16:58:04Z,22.91,24,23
2019-02-21T17:03:04Z,22.91,0,19
2019-02-21T17:08:04Z,22.91,0,19
2019-02-21T17:13:04Z,22.91,0,19
2019-02-21T17:18:04Z,22.91,0,19
2019-02-21T17:23:04Z,22.91,0,19
2019-02-21T17:28:04Z,22.91,0,19
2019-02-21T17:33:04Z,22.47,0,19
2019-02-21T17:38:04Z,22.47,0,19
2019-02-21T17:43:04Z,22.47,0,19
2019-02-21T17:48:04Z,22.47,0,19
2019-02-21T17:53:04Z,21.93,0,19
2019-02-21T17:58:04Z,21.93,0,19
2019-02-21T18:03:04Z,21.93,0,19
2019-02-21T18:08:04Z,21.93,0,19
2019-02-21T18:13:04Z,21.4,0,19
2019-02-21T18:18:04Z,21.4,0,19
2019-02-21T18:23:04Z,21.4,0,19
2019-02-21T18:28:04Z,21.4,0,19
2019-02-21T18:33:04Z,21.4,0,19
2019-02-21T18:38:04Z,20.87,0,19
2019-02-21T18:43:04Z,20.87,0,19
2019-02-21T18:48:04Z,20.87,0,19
2019-02-21T18:53:04Z,20.87,0,19
2019-02-21T18:58:04Z,20.87,0,19
2019-02-21T19:03:04Z,20.87,0,19
2019-02-21T19:08:04Z,20.34,0,19
2019-02-21T19:13:04Z,20.34,0,19
2019-02-21T19:18:04Z,20.34,0,19
2019-02-21T19:23:04Z,20.34,0,19
2019-02-21T19:28:04Z,20.34,0,19
2019-02-21T19:33:04Z,20.34,0,19
2019-02-21T19:38:04Z,20.34,0,19
2019-02-21T19:43:04Z,20.34,0,19
2019-02-21T19:48:04Z,20.34,0,19
2019-02-21T19:53:04Z,19.81,0,19
2019-02-21T19:58:04Z,19.81,0,19
2019-02-21T20:03:04Z,19.81,0,19
2019-02-21T20:08:04Z,19.81,0,19
